id,age,topic_id,phase,period,condition,score,order_group
43,25,3,pretest,0,pretest,47,control_first
43,25,3,intervention,1,control,69,control_first
43,25,3,intervention,2,combined,70,control_first
44,25,1,pretest,0,pretest,43,combined_first
44,25,1,intervention,1,combined,51,combined_first
44,25,1,intervention,2,control,51,combined_first
44,25,2,pretest,0,pretest,52,control_first
44,25,2,intervention,1,control,51,control_first
44,25,2,intervention,2,combined,51,control_first
44,25,3,pretest,0,pretest,45,combined_first
44,25,3,intervention,1,combined,58,combined_first
44,25,3,intervention,2,control,51,combined_first
45,27,1,pretest,0,pretest,64,control_first
45,27,1,intervention,1,control,64,control_first
45,27,1,intervention,2,combined,64,control_first
45,27,2,pretest,0,pretest,58,combined_first
45,27,2,intervention,1,combined,64,combined_first
45,27,2,intervention,2,control,64,combined_first
45,27,3,pretest,0,pretest,68,control_first
45,27,3,intervention,1,control,70,control_first
45,27,3,intervention,2,combined,70,control_first
46,25,1,pretest,0,pretest,64,combined_first
46,25,1,intervention,1,combined,70,combined_first
46,25,1,intervention,2,control,70,combined_first
46,25,2,pretest,0,pretest,70,control_first
46,25,2,intervention,1,control,70,control_first
46,25,2,intervention,2,combined,70,control_first
46,25,3,pretest,0,pretest,67,combined_first
46,25,3,intervention,1,combined,70,combined_first
46,25,3,intervention,2,control,70,combined_first
47,25,1,pretest,0,pretest,60,control_first
47,25,1,intervention,1,control,60,control_first
47,25,1,intervention,2,combined,60,control_first
47,25,2,pretest,0,pretest,60,combined_first
47,25,2,intervention,1,combined,60,combined_first
47,25,2,intervention,2,control,60,combined_first
47,25,3,pretest,0,pretest,60,control_first
47,25,3,intervention,1,control,60,control_first
47,25,3,intervention,2,combined,63,control_first
48,26,1,pretest,0,pretest,67,combined_first
48,26,1,intervention,1,combined,70,combined_first
48,26,1,intervention,2,control,70,combined_first
48,26,2,pretest,0,pretest,56,control_first
48,26,2,intervention,1,control,66,control_first
48,26,2,intervention,2,combined,63,control_first
48,26,3,pretest,0,pretest,59,combined_first
48,26,3,intervention,1,combined,64,combined_first
48,26,3,intervention,2,control,68,combined_first
49,25,1,pretest,0,pretest,64,control_first
49,25,1,intervention,1,control,64,control_first
49,25,1,intervention,2,combined,68,control_first
49,25,2,pretest,0,pretest,52,combined_first
49,25,2,intervention,1,combined,63,combined_first
49,25,2,intervention,2,control,56,combined_first
49,25,3,pretest,0,pretest,38,control_first
49,25,3,intervention,1,control,62,control_first
49,25,3,intervention,2,combined,61,control_first
50,25,1,pretest,0,pretest,56,combined_first
50,25,1,intervention,1,combined,65,combined_first
50,25,1,intervention,2,control,63,combined_first
50,25,2,pretest,0,pretest,66,control_first
50,25,2,intervention,1,control,70,control_first
50,25,2,intervention,2,combined,69,control_first
50,25,3,pretest,0,pretest,62,combined_first
50,25,3,intervention,1,combined,68,combined_first
50,25,3,intervention,2,control,68,combined_first
51,24,1,pretest,0,pretest,46,control_first
51,24,1,intervention,1,control,56,control_first
51,24,1,intervention,2,combined,60,control_first
51,24,2,pretest,0,pretest,51,combined_first
51,24,2,intervention,1,combined,60,combined_first
51,24,2,intervention,2,control,60,combined_first
51,24,3,pretest,0,pretest,55,control_first
51,24,3,intervention,1,control,60,control_first
51,24,3,intervention,2,combined,60,control_first
52,35,1,pretest,0,pretest,53,combined_first
52,35,1,intervention,1,combined,65,combined_first
52,35,1,intervention,2,control,63,combined_first
52,35,2,pretest,0,pretest,66,control_first
52,35,2,intervention,1,control,69,control_first
52,35,2,intervention,2,combined,69,control_first
52,35,3,pretest,0,pretest,55,combined_first
52,35,3,intervention,1,combined,67,combined_first
52,35,3,intervention,2,control,60,combined_first
53,24,1,pretest,0,pretest,51,control_first
53,24,1,intervention,1,control,57,control_first
53,24,1,intervention,2,combined,61,control_first
53,24,2,pretest,0,pretest,59,combined_first
53,24,2,intervention,1,combined,66,combined_first
53,24,2,intervention,2,control,65,combined_first
53,24,3,pretest,0,pretest,58,control_first
53,24,3,intervention,1,control,62,control_first
53,24,3,intervention,2,combined,67,control_first
54,24,1,pretest,0,pretest,48,combined_first
54,24,1,intervention,1,combined,53,combined_first
54,24,1,intervention,2,control,50,combined_first
54,24,2,pretest,0,pretest,59,control_first
54,24,2,intervention,1,control,60,control_first
54,24,2,intervention,2,combined,62,control_first
54,24,3,pretest,0,pretest,60,combined_first
54,24,3,intervention,1,combined,60,combined_first
54,24,3,intervention,2,control,60,combined_first
55,23,1,pretest,0,pretest,39,control_first
55,23,1,intervention,1,control,54,control_first
55,23,1,intervention,2,combined,54,control_first
55,23,2,pretest,0,pretest,59,combined_first
55,23,2,intervention,1,combined,63,combined_first
55,23,2,intervention,2,control,62,combined_first
55,23,3,pretest,0,pretest,50,control_first
55,23,3,intervention,1,control,58,control_first
55,23,3,intervention,2,combined,60,control_first
56,25,1,pretest,0,pretest,49,combined_first
56,25,1,intervention,1,combined,52,combined_first
56,25,1,intervention,2,control,35,combined_first
56,25,2,pretest,0,pretest,56,control_first
56,25,2,intervention,1,control,60,control_first
56,25,2,intervention,2,combined,60,control_first
56,25,3,pretest,0,pretest,37,combined_first
56,25,3,intervention,1,combined,60,combined_first
56,25,3,intervention,2,control,57,combined_first
57,23,1,pretest,0,pretest,42,combined_first
57,23,1,intervention,1,combined,40,combined_first
57,23,1,intervention,2,control,40,combined_first
57,23,2,pretest,0,pretest,40,control_first
57,23,2,intervention,1,control,40,control_first
57,23,2,intervention,2,combined,40,control_first
57,23,3,pretest,0,pretest,40,combined_first
57,23,3,intervention,1,combined,40,combined_first
57,23,3,intervention,2,control,40,combined_first
58,18,1,pretest,0,pretest,42,control_first
58,18,1,intervention,1,control,40,control_first
58,18,1,intervention,2,combined,40,control_first
58,18,2,pretest,0,pretest,40,combined_first
58,18,2,intervention,1,combined,40,combined_first
58,18,2,intervention,2,control,40,combined_first
58,18,3,pretest,0,pretest,40,control_first
58,18,3,intervention,1,control,40,control_first
58,18,3,intervention,2,combined,40,control_first
59,24,1,pretest,0,pretest,64,combined_first
59,24,1,intervention,1,combined,70,combined_first
59,24,1,intervention,2,control,66,combined_first
59,24,2,pretest,0,pretest,58,control_first
59,24,2,intervention,1,control,62,control_first
59,24,2,intervention,2,combined,68,control_first
59,24,3,pretest,0,pretest,54,combined_first
59,24,3,intervention,1,combined,69,combined_first
59,24,3,intervention,2,control,65,combined_first
60,25,1,pretest,0,pretest,39,control_first
60,25,1,intervention,1,control,42,control_first
60,25,1,intervention,2,combined,48,control_first
60,25,2,pretest,0,pretest,46,combined_first
60,25,2,intervention,1,combined,44,combined_first
60,25,2,intervention,2,control,48,combined_first
60,25,3,pretest,0,pretest,40,control_first
60,25,3,intervention,1,control,51,control_first
60,25,3,intervention,2,combined,57,control_first
61,31,1,pretest,0,pretest,70,combined_first
61,31,1,intervention,1,combined,70,combined_first
61,31,1,intervention,2,control,58,combined_first
61,31,2,pretest,0,pretest,51,control_first
61,31,2,intervention,1,control,60,control_first
61,31,2,intervention,2,combined,61,control_first
61,31,3,pretest,0,pretest,52,combined_first
61,31,3,intervention,1,combined,65,combined_first
61,31,3,intervention,2,control,60,combined_first
62,26,1,pretest,0,pretest,49,control_first
62,26,1,intervention,1,control,52,control_first
62,26,1,intervention,2,combined,60,control_first
62,26,2,pretest,0,pretest,60,combined_first
62,26,2,intervention,1,combined,62,combined_first
62,26,2,intervention,2,control,60,combined_first
62,26,3,pretest,0,pretest,60,control_first
62,26,3,intervention,1,control,60,control_first
62,26,3,intervention,2,combined,63,control_first
63,24,1,pretest,0,pretest,45,combined_first
63,24,1,intervention,1,combined,70,combined_first
63,24,1,intervention,2,control,50,combined_first
63,24,2,pretest,0,pretest,37,control_first
63,24,2,intervention,1,control,50,control_first
63,24,2,intervention,2,combined,64,control_first
63,24,3,pretest,0,pretest,50,combined_first
63,24,3,intervention,1,combined,70,combined_first
63,24,3,intervention,2,control,55,combined_first
64,24,1,pretest,0,pretest,41,control_first
64,24,1,intervention,1,control,43,control_first
64,24,1,intervention,2,combined,70,control_first
64,24,2,pretest,0,pretest,35,combined_first
64,24,2,intervention,1,combined,70,combined_first
64,24,2,intervention,2,control,50,combined_first
64,24,3,pretest,0,pretest,45,control_first
64,24,3,intervention,1,control,55,control_first
64,24,3,intervention,2,combined,70,control_first
65,25,1,pretest,0,pretest,49,combined_first
65,25,1,intervention,1,combined,56,combined_first
65,25,1,intervention,2,control,54,combined_first
65,25,2,pretest,0,pretest,51,control_first
65,25,2,intervention,1,control,56,control_first
65,25,2,intervention,2,combined,60,control_first
65,25,3,pretest,0,pretest,44,combined_first
65,25,3,intervention,1,combined,57,combined_first
65,25,3,intervention,2,control,51,combined_first
66,25,1,pretest,0,pretest,62,control_first
66,25,1,intervention,1,control,64,control_first
66,25,1,intervention,2,combined,60,control_first
66,25,2,pretest,0,pretest,61,combined_first
66,25,2,intervention,1,combined,68,combined_first
66,25,2,intervention,2,control,67,combined_first
66,25,3,pretest,0,pretest,48,control_first
66,25,3,intervention,1,control,65,control_first
66,25,3,intervention,2,combined,65,control_first
67,24,1,pretest,0,pretest,40,combined_first
67,24,1,intervention,1,combined,36,combined_first
67,24,1,intervention,2,control,42,combined_first
67,24,2,pretest,0,pretest,40,control_first
67,24,2,intervention,1,control,39,control_first
67,24,2,intervention,2,combined,41,control_first
67,24,3,pretest,0,pretest,40,combined_first
67,24,3,intervention,1,combined,40,combined_first
67,24,3,intervention,2,control,40,combined_first
68,25,1,pretest,0,pretest,42,control_first
68,25,1,intervention,1,control,51,control_first
68,25,1,intervention,2,combined,54,control_first
68,25,2,pretest,0,pretest,55,combined_first
68,25,2,intervention,1,combined,61,combined_first
68,25,2,intervention,2,control,64,combined_first
68,25,3,pretest,0,pretest,39,control_first
68,25,3,intervention,1,control,48,control_first
68,25,3,intervention,2,combined,43,control_first
69,24,1,pretest,0,pretest,39,combined_first
69,24,1,intervention,1,combined,55,combined_first
69,24,1,intervention,2,control,50,combined_first
69,24,2,pretest,0,pretest,68,control_first
69,24,2,intervention,1,control,68,control_first
69,24,2,intervention,2,combined,70,control_first
69,24,3,pretest,0,pretest,52,combined_first
69,24,3,intervention,1,combined,60,combined_first
69,24,3,intervention,2,control,61,combined_first
70,25,1,pretest,0,pretest,41,control_first
70,25,1,intervention,1,control,46,control_first
70,25,1,intervention,2,combined,50,control_first
70,25,2,pretest,0,pretest,54,combined_first
70,25,2,intervention,1,combined,70,combined_first
70,25,2,intervention,2,control,70,combined_first
70,25,3,pretest,0,pretest,50,control_first
70,25,3,intervention,1,control,52,control_first
70,25,3,intervention,2,combined,54,control_first
71,25,1,pretest,0,pretest,40,combined_first
71,25,1,intervention,1,combined,63,combined_first
71,25,1,intervention,2,control,41,combined_first
71,25,2,pretest,0,pretest,50,control_first
71,25,2,intervention,1,control,62,control_first
71,25,2,intervention,2,combined,67,control_first
71,25,3,pretest,0,pretest,38,combined_first
71,25,3,intervention,1,combined,66,combined_first
71,25,3,intervention,2,control,58,combined_first
72,24,1,pretest,0,pretest,40,control_first
